t_ms,frame_idx,relative_path
16686.311,333,frames/frame_000333.jpg
16732.991,334,frames/frame_000334.jpg
16795.200,335,frames/frame_000335.jpg
16841.750,336,frames/frame_000336.jpg
16888.404,337,frames/frame_000337.jpg
16935.219,338,frames/frame_000338.jpg
16981.710,339,frames/frame_000339.jpg
17043.448,340,frames/frame_000340.jpg
17090.126,341,frames/frame_000341.jpg
17137.206,342,frames/frame_000342.jpg
17183.831,343,frames/frame_000343.jpg
17230.456,344,frames/frame_000344.jpg
17293.346,345,frames/frame_000345.jpg
17340.007,346,frames/frame_000346.jpg
17441.928,347,frames/frame_000347.jpg
17492.927,348,frames/frame_000348.jpg
17596.373,349,frames/frame_000349.jpg
17631.981,350,frames/frame_000350.jpg
17650.972,351,frames/frame_000351.jpg
17714.808,352,frames/frame_000352.jpg
17732.367,353,frames/frame_000353.jpg
17792.143,354,frames/frame_000354.jpg
17883.595,355,frames/frame_000355.jpg
17913.210,356,frames/frame_000356.jpg
17956.968,357,frames/frame_000357.jpg
17989.834,358,frames/frame_000358.jpg
18073.745,359,frames/frame_000359.jpg
18091.532,360,frames/frame_000360.jpg
18111.845,361,frames/frame_000361.jpg
18132.174,362,frames/frame_000362.jpg
18179.576,363,frames/frame_000363.jpg
18241.826,364,frames/frame_000364.jpg
18288.040,365,frames/frame_000365.jpg
18335.243,366,frames/frame_000366.jpg
18381.915,367,frames/frame_000367.jpg
18443.781,368,frames/frame_000368.jpg
18490.352,369,frames/frame_000369.jpg
18537.466,370,frames/frame_000370.jpg
18584.190,371,frames/frame_000371.jpg
18630.932,372,frames/frame_000372.jpg
18692.584,373,frames/frame_000373.jpg
18739.266,374,frames/frame_000374.jpg
18785.798,375,frames/frame_000375.jpg
18832.993,376,frames/frame_000376.jpg
18881.635,377,frames/frame_000377.jpg
18941.576,378,frames/frame_000378.jpg
18988.772,379,frames/frame_000379.jpg
19034.983,380,frames/frame_000380.jpg
19081.394,381,frames/frame_000381.jpg
19144.067,382,frames/frame_000382.jpg
19190.417,383,frames/frame_000383.jpg
19237.656,384,frames/frame_000384.jpg
19284.251,385,frames/frame_000385.jpg
19330.867,386,frames/frame_000386.jpg
19392.707,387,frames/frame_000387.jpg
19439.282,388,frames/frame_000388.jpg
19486.515,389,frames/frame_000389.jpg
19532.745,390,frames/frame_000390.jpg
19594.969,391,frames/frame_000391.jpg
19641.240,392,frames/frame_000392.jpg
19687.909,393,frames/frame_000393.jpg
19734.556,394,frames/frame_000394.jpg
19781.677,395,frames/frame_000395.jpg
19843.456,396,frames/frame_000396.jpg
19890.324,397,frames/frame_000397.jpg
19937.386,398,frames/frame_000398.jpg
19983.552,399,frames/frame_000399.jpg
20030.418,400,frames/frame_000400.jpg
20092.909,401,frames/frame_000401.jpg
20139.293,402,frames/frame_000402.jpg
20186.079,403,frames/frame_000403.jpg
20233.774,404,frames/frame_000404.jpg
20281.052,405,frames/frame_000405.jpg
20342.329,406,frames/frame_000406.jpg
20388.931,407,frames/frame_000407.jpg
20435.490,408,frames/frame_000408.jpg
20482.212,409,frames/frame_000409.jpg
20544.778,410,frames/frame_000410.jpg
20591.162,411,frames/frame_000411.jpg
20638.039,412,frames/frame_000412.jpg
20684.713,413,frames/frame_000413.jpg
20731.408,414,frames/frame_000414.jpg
20793.736,415,frames/frame_000415.jpg
20840.480,416,frames/frame_000416.jpg
20887.137,417,frames/frame_000417.jpg
20933.606,418,frames/frame_000418.jpg
20980.497,419,frames/frame_000419.jpg
21042.704,420,frames/frame_000420.jpg
21089.474,421,frames/frame_000421.jpg
21136.099,422,frames/frame_000422.jpg
21182.891,423,frames/frame_000423.jpg
21229.998,424,frames/frame_000424.jpg
21291.733,425,frames/frame_000425.jpg
21334.429,426,frames/frame_000426.jpg
21386.003,427,frames/frame_000427.jpg
21431.497,428,frames/frame_000428.jpg
21493.746,429,frames/frame_000429.jpg
21540.610,430,frames/frame_000430.jpg
21587.350,431,frames/frame_000431.jpg
21633.184,432,frames/frame_000432.jpg
21679.885,433,frames/frame_000433.jpg
21740.868,434,frames/frame_000434.jpg
21787.463,435,frames/frame_000435.jpg
21833.745,436,frames/frame_000436.jpg
21880.426,437,frames/frame_000437.jpg
21943.072,438,frames/frame_000438.jpg
21990.323,439,frames/frame_000439.jpg
22036.498,440,frames/frame_000440.jpg
22082.804,441,frames/frame_000441.jpg
22129.887,442,frames/frame_000442.jpg
22191.674,443,frames/frame_000443.jpg
22237.914,444,frames/frame_000444.jpg
22284.882,445,frames/frame_000445.jpg
22331.809,446,frames/frame_000446.jpg
22393.757,447,frames/frame_000447.jpg
22440.361,448,frames/frame_000448.jpg
22487.513,449,frames/frame_000449.jpg
22534.250,450,frames/frame_000450.jpg
22580.639,451,frames/frame_000451.jpg
22643.451,452,frames/frame_000452.jpg
22689.339,453,frames/frame_000453.jpg
22736.046,454,frames/frame_000454.jpg
22782.255,455,frames/frame_000455.jpg
22844.530,456,frames/frame_000456.jpg
22891.202,457,frames/frame_000457.jpg
22938.825,458,frames/frame_000458.jpg
22984.383,459,frames/frame_000459.jpg
23031.568,460,frames/frame_000460.jpg
23093.837,461,frames/frame_000461.jpg
23140.326,462,frames/frame_000462.jpg
23187.468,463,frames/frame_000463.jpg
23233.638,464,frames/frame_000464.jpg
23280.173,465,frames/frame_000465.jpg
23341.911,466,frames/frame_000466.jpg
23388.279,467,frames/frame_000467.jpg
23436.003,468,frames/frame_000468.jpg
23483.247,469,frames/frame_000469.jpg
23529.804,470,frames/frame_000470.jpg
23591.979,471,frames/frame_000471.jpg
23638.320,472,frames/frame_000472.jpg
23685.040,473,frames/frame_000473.jpg
23731.538,474,frames/frame_000474.jpg
23793.843,475,frames/frame_000475.jpg
23840.595,476,frames/frame_000476.jpg
23887.225,477,frames/frame_000477.jpg
23933.343,478,frames/frame_000478.jpg
23979.977,479,frames/frame_000479.jpg
24042.724,480,frames/frame_000480.jpg
24089.621,481,frames/frame_000481.jpg
24136.417,482,frames/frame_000482.jpg
24182.390,483,frames/frame_000483.jpg
24244.648,484,frames/frame_000484.jpg
24291.311,485,frames/frame_000485.jpg
24337.943,486,frames/frame_000486.jpg
24385.090,487,frames/frame_000487.jpg
24431.687,488,frames/frame_000488.jpg
24493.895,489,frames/frame_000489.jpg
24540.566,490,frames/frame_000490.jpg
24587.623,491,frames/frame_000491.jpg
24634.205,492,frames/frame_000492.jpg
24680.763,493,frames/frame_000493.jpg
24743.116,494,frames/frame_000494.jpg
24789.726,495,frames/frame_000495.jpg
24835.932,496,frames/frame_000496.jpg
24883.123,497,frames/frame_000497.jpg
24929.836,498,frames/frame_000498.jpg
24992.115,499,frames/frame_000499.jpg
25038.300,500,frames/frame_000500.jpg
25084.929,501,frames/frame_000501.jpg
25131.678,502,frames/frame_000502.jpg
25193.919,503,frames/frame_000503.jpg
25240.455,504,frames/frame_000504.jpg
25287.568,505,frames/frame_000505.jpg
25334.365,506,frames/frame_000506.jpg
25380.932,507,frames/frame_000507.jpg
25442.709,508,frames/frame_000508.jpg
25489.854,509,frames/frame_000509.jpg
25536.594,510,frames/frame_000510.jpg
25583.164,511,frames/frame_000511.jpg
25629.887,512,frames/frame_000512.jpg
25692.044,513,frames/frame_000513.jpg
25737.803,514,frames/frame_000514.jpg
25785.029,515,frames/frame_000515.jpg
25831.595,516,frames/frame_000516.jpg
25893.770,517,frames/frame_000517.jpg
25940.546,518,frames/frame_000518.jpg
25987.113,519,frames/frame_000519.jpg
26033.943,520,frames/frame_000520.jpg
26080.888,521,frames/frame_000521.jpg
26143.141,522,frames/frame_000522.jpg
26189.827,523,frames/frame_000523.jpg
26236.553,524,frames/frame_000524.jpg
26283.146,525,frames/frame_000525.jpg
26329.773,526,frames/frame_000526.jpg
26392.097,527,frames/frame_000527.jpg
26438.689,528,frames/frame_000528.jpg
26484.956,529,frames/frame_000529.jpg
26531.219,530,frames/frame_000530.jpg
26593.497,531,frames/frame_000531.jpg
26640.206,532,frames/frame_000532.jpg
26687.311,533,frames/frame_000533.jpg
26733.113,534,frames/frame_000534.jpg
26779.816,535,frames/frame_000535.jpg
26841.993,536,frames/frame_000536.jpg
26888.598,537,frames/frame_000537.jpg
26934.938,538,frames/frame_000538.jpg
26981.473,539,frames/frame_000539.jpg
27044.310,540,frames/frame_000540.jpg
27090.499,541,frames/frame_000541.jpg
27137.225,542,frames/frame_000542.jpg
27183.797,543,frames/frame_000543.jpg
27230.467,544,frames/frame_000544.jpg
27292.684,545,frames/frame_000545.jpg
27339.413,546,frames/frame_000546.jpg
27385.611,547,frames/frame_000547.jpg
27432.173,548,frames/frame_000548.jpg
27494.340,549,frames/frame_000549.jpg
27540.861,550,frames/frame_000550.jpg
27587.438,551,frames/frame_000551.jpg
27633.723,552,frames/frame_000552.jpg
27680.456,553,frames/frame_000553.jpg
27742.837,554,frames/frame_000554.jpg
27789.382,555,frames/frame_000555.jpg
27836.042,556,frames/frame_000556.jpg
27883.172,557,frames/frame_000557.jpg
27929.716,558,frames/frame_000558.jpg
27993.000,559,frames/frame_000559.jpg
28039.751,560,frames/frame_000560.jpg
28085.851,561,frames/frame_000561.jpg
28132.579,562,frames/frame_000562.jpg
28194.763,563,frames/frame_000563.jpg
28241.403,564,frames/frame_000564.jpg
28288.534,565,frames/frame_000565.jpg
28334.760,566,frames/frame_000566.jpg
28381.315,567,frames/frame_000567.jpg
28443.935,568,frames/frame_000568.jpg
28490.530,569,frames/frame_000569.jpg
28537.133,570,frames/frame_000570.jpg
28583.817,571,frames/frame_000571.jpg
28630.504,572,frames/frame_000572.jpg
28693.157,573,frames/frame_000573.jpg
28739.701,574,frames/frame_000574.jpg
28786.373,575,frames/frame_000575.jpg
28833.082,576,frames/frame_000576.jpg
28879.673,577,frames/frame_000577.jpg
28941.746,578,frames/frame_000578.jpg
28988.999,579,frames/frame_000579.jpg
29035.579,580,frames/frame_000580.jpg
29082.357,581,frames/frame_000581.jpg
29144.663,582,frames/frame_000582.jpg
29190.811,583,frames/frame_000583.jpg
29237.512,584,frames/frame_000584.jpg
29284.170,585,frames/frame_000585.jpg
29331.380,586,frames/frame_000586.jpg
29393.817,587,frames/frame_000587.jpg
29440.372,588,frames/frame_000588.jpg
29487.481,589,frames/frame_000589.jpg
29534.180,590,frames/frame_000590.jpg
29580.326,591,frames/frame_000591.jpg
29642.737,592,frames/frame_000592.jpg
29689.465,593,frames/frame_000593.jpg
29736.033,594,frames/frame_000594.jpg
29783.110,595,frames/frame_000595.jpg
29829.844,596,frames/frame_000596.jpg
29891.862,597,frames/frame_000597.jpg
29938.527,598,frames/frame_000598.jpg
29985.610,599,frames/frame_000599.jpg
30032.330,600,frames/frame_000600.jpg
30094.576,601,frames/frame_000601.jpg
30141.121,602,frames/frame_000602.jpg
30188.322,603,frames/frame_000603.jpg
30235.059,604,frames/frame_000604.jpg
30281.651,605,frames/frame_000605.jpg
30344.071,606,frames/frame_000606.jpg
30390.622,607,frames/frame_000607.jpg
30437.262,608,frames/frame_000608.jpg
30483.485,609,frames/frame_000609.jpg
30529.726,610,frames/frame_000610.jpg
30591.828,611,frames/frame_000611.jpg
30638.965,612,frames/frame_000612.jpg
30685.589,613,frames/frame_000613.jpg
30732.771,614,frames/frame_000614.jpg
30794.693,615,frames/frame_000615.jpg
30841.263,616,frames/frame_000616.jpg
30889.251,617,frames/frame_000617.jpg
30935.715,618,frames/frame_000618.jpg
30982.323,619,frames/frame_000619.jpg
31044.623,620,frames/frame_000620.jpg
31091.734,621,frames/frame_000621.jpg
31137.828,622,frames/frame_000622.jpg
31184.392,623,frames/frame_000623.jpg
31231.046,624,frames/frame_000624.jpg
31293.890,625,frames/frame_000625.jpg
31340.468,626,frames/frame_000626.jpg
31387.549,627,frames/frame_000627.jpg
31434.231,628,frames/frame_000628.jpg
31480.970,629,frames/frame_000629.jpg
31543.182,630,frames/frame_000630.jpg
31589.796,631,frames/frame_000631.jpg
31636.416,632,frames/frame_000632.jpg
31682.697,633,frames/frame_000633.jpg
31745.023,634,frames/frame_000634.jpg
31791.549,635,frames/frame_000635.jpg
31838.278,636,frames/frame_000636.jpg
31884.900,637,frames/frame_000637.jpg
31931.992,638,frames/frame_000638.jpg
31993.832,639,frames/frame_000639.jpg
32040.465,640,frames/frame_000640.jpg
32087.223,641,frames/frame_000641.jpg
32133.487,642,frames/frame_000642.jpg
32180.081,643,frames/frame_000643.jpg
32241.930,644,frames/frame_000644.jpg
32289.048,645,frames/frame_000645.jpg
32335.746,646,frames/frame_000646.jpg
32381.591,647,frames/frame_000647.jpg
32444.880,648,frames/frame_000648.jpg
32491.011,649,frames/frame_000649.jpg
32537.239,650,frames/frame_000650.jpg
32583.917,651,frames/frame_000651.jpg
32630.567,652,frames/frame_000652.jpg
32693.090,653,frames/frame_000653.jpg
32739.729,654,frames/frame_000654.jpg
32786.357,655,frames/frame_000655.jpg
32833.166,656,frames/frame_000656.jpg
32879.784,657,frames/frame_000657.jpg
32941.959,658,frames/frame_000658.jpg
32988.670,659,frames/frame_000659.jpg
33035.240,660,frames/frame_000660.jpg
33213.489,661,frames/frame_000661.jpg
33223.871,662,frames/frame_000662.jpg
33234.893,663,frames/frame_000663.jpg
33252.232,664,frames/frame_000664.jpg
33283.862,665,frames/frame_000665.jpg
33330.608,666,frames/frame_000666.jpg
33392.491,667,frames/frame_000667.jpg
33439.108,668,frames/frame_000668.jpg
33485.673,669,frames/frame_000669.jpg
33532.428,670,frames/frame_000670.jpg
33594.193,671,frames/frame_000671.jpg
33640.853,672,frames/frame_000672.jpg
33687.383,673,frames/frame_000673.jpg
33733.349,674,frames/frame_000674.jpg
33780.080,675,frames/frame_000675.jpg
33841.933,676,frames/frame_000676.jpg
33888.804,677,frames/frame_000677.jpg
33936.100,678,frames/frame_000678.jpg
33982.526,679,frames/frame_000679.jpg
34044.926,680,frames/frame_000680.jpg
34091.565,681,frames/frame_000681.jpg
34138.446,682,frames/frame_000682.jpg
34184.310,683,frames/frame_000683.jpg
34230.958,684,frames/frame_000684.jpg
34292.816,685,frames/frame_000685.jpg
