t_ms,PacketId,SpeedKmh,SteerAngle,Gas,Brake,Gear,Rpms,Heading,Pitch,Roll,AccG_x,AccG_y,AccG_z,Velocity_x,Velocity_y,Velocity_z,WheelSlip_0,WheelSlip_1,WheelSlip_2,WheelSlip_3
127358.262,4608,30.945770263671875,0.18073037266731262,1.0,0.0,2,5278,-0.17729274928569794,0.1011553406715393,-0.06766822189092636,-0.12168367207050323,-0.029702987521886826,0.8819407820701599,1.3487224578857422,0.5904279947280884,8.494818687438965,7.4878153800964355,8.516194343566895,6.602136611938477,7.116906642913818
127373.301,4613,31.415508270263672,0.08865325152873993,1.0,0.0,2,5287,-0.17416605353355408,0.1007852554321289,-0.06850403547286987,-0.11140597611665726,-0.028367551043629646,0.8840950727462769,1.354422926902771,0.5981610417366028,8.625797271728516,6.991062641143799,8.01771068572998,6.570252895355225,7.102344036102295
127388.862,4619,31.981128692626953,-0.0037931352853775024,1.0,0.0,2,5293,-0.17029538750648499,0.10036689788103104,-0.06983280181884766,-0.2635048031806946,0.010841675102710724,0.8763718605041504,1.3692198991775513,0.6071679592132568,8.7837495803833,6.3334808349609375,7.5015974044799805,6.529758930206299,7.083866119384766
127388.983,4619,31.981128692626953,-0.0037931352853775024,1.0,0.0,2,5293,-0.17029538750648499,0.10036689788103104,-0.06983280181884766,-0.2635048031806946,0.010841675102710724,0.8763718605041504,1.3692198991775513,0.6071679592132568,8.7837495803833,6.3334808349609375,7.5015974044799805,6.529758930206299,7.083866119384766
127404.386,4624,32.45510482788086,-0.09841281175613403,1.0,0.0,2,5299,-0.16700196266174316,0.10005294531583786,-0.07133520394563675,-0.24643835425376892,-0.0050590746104717255,0.8820162415504456,1.3819869756698608,0.6163254976272583,8.914202690124512,6.005695343017578,7.133145332336426,6.431833267211914,6.956142425537109
127420.043,4629,32.92564010620117,-0.18655729293823242,1.0,0.0,2,5306,-0.16376078128814697,0.09977268427610397,-0.0731724426150322,-0.037427868694067,-0.029312731698155403,0.8873454332351685,1.395884394645691,0.6244924664497375,9.043951034545898,5.958122730255127,6.794881820678711,6.2229814529418945,6.679834365844727
127420.136,4629,32.92564010620117,-0.18655729293823242,1.0,0.0,2,5306,-0.16376078128814697,0.09977268427610397,-0.0731724426150322,-0.037427868694067,-0.029312731698155403,0.8873454332351685,1.395884394645691,0.6244924664497375,9.043951034545898,5.958122730255127,6.794881820678711,6.2229814529418945,6.679834365844727
127435.804,4634,33.393619537353516,-0.18655729293823242,1.0,0.0,2,5314,-0.16074597835540771,0.09953851252794266,-0.07509273290634155,-0.011702252551913261,-0.036121539771556854,0.8819365501403809,1.4203779697418213,0.6333329677581787,9.171063423156738,5.979796886444092,6.74879789352417,5.893230438232422,6.3017072677612305
127451.232,4640,33.95389175415039,-0.24531956017017365,1.0,0.0,2,5322,-0.15725600719451904,0.0992927998304367,-0.07772940397262573,0.005799934267997742,-0.03214723616838455,0.8821512460708618,1.4457296133041382,0.6435263156890869,9.32437801361084,6.085688591003418,6.71994161605835,5.448148250579834,5.768599510192871
127451.306,4640,33.95389175415039,-0.24531956017017365,1.0,0.0,2,5322,-0.15725600719451904,0.0992927998304367,-0.07772940397262573,0.005799934267997742,-0.03214723616838455,0.8821512460708618,1.4457296133041382,0.6435263156890869,9.32437801361084,6.085688591003418,6.71994161605835,5.448148250579834,5.768599510192871
127467.312,4645,34.422607421875,-0.21887241303920746,1.0,0.0,2,5326,-0.15471450984477997,0.09914291650056839,-0.07987333834171295,0.00927156861871481,-0.02366153709590435,0.8866995573043823,1.4693894386291504,0.653472900390625,9.451876640319824,6.097565650939941,6.6136651039123535,5.126168727874756,5.380256652832031
127482.406,4650,34.893863677978516,-0.1878824234008789,1.0,0.0,2,5328,-0.15242083370685577,0.09904644638299942,-0.08190785348415375,0.0009573571151122451,-0.017683351412415504,0.8928200006484985,1.4899258613586426,0.6635421514511108,9.581007957458496,5.948513507843018,6.346374988555908,4.908049583435059,5.098362445831299
