t_ms,packet_id,speed_kmh,steer,gas,brake,gear,rpms,heading,pitch,roll,accg_x,accg_y,accg_z
77034.995,325,0.016829118132591248,0.0,0.0,1.0,1,6,-0.23860566318035126,0.07503488659858704,-0.05404559150338173,-4.202486525173299e-05,-0.00038591292104683816,9.501795830146875e-06
77045.337,329,0.01682066172361374,0.0,0.0,1.0,1,6,-0.23860576748847961,0.07503431290388107,-0.054044730961322784,0.00012144132051616907,-0.0005517745739780366,2.9291366445249878e-05
77055.858,332,0.016803434118628502,0.0,0.0,1.0,1,6,-0.2386058121919632,0.07503378391265869,-0.05404402315616608,0.0002512155915610492,-0.00018985274073202163,3.585916419979185e-05
77066.377,336,0.01675870083272457,0.0,0.0,1.0,1,6,-0.2386055588722229,0.07503306120634079,-0.05404319986701012,-0.00018972656107507646,7.386094512185082e-05,0.00014129746705293655
77076.966,339,0.016733836382627487,0.0,0.0,1.0,1,6,-0.23860517144203186,0.0750327929854393,-0.054042283445596695,-0.00021615535661112517,0.0004795258864760399,8.426055137533695e-05
77087.471,343,0.01674213446676731,0.0,0.0,1.0,1,6,-0.23860490322113037,0.07503294944763184,-0.05404115095734596,0.00022287765750661492,-2.8508531613624655e-05,-7.959298091009259e-05
77098.002,347,0.016786985099315643,0.0,0.0,1.0,1,6,-0.23860500752925873,0.07503348588943481,-0.05404042825102806,-0.00011932111374335364,-4.0692262700758874e-05,-0.00013915864110458642
77108.518,350,0.016841573640704155,0.0,0.0,1.0,1,6,-0.23860521614551544,0.07503390312194824,-0.05403991416096687,-0.0005398426437750459,0.00016740137652959675,-0.00016203468840103596
77119.064,353,0.01691245473921299,0.0,0.0,1.0,1,6,-0.2386053502559662,0.07503407448530197,-0.05403928831219673,-0.00020116730593144894,0.00022730791533831507,-0.00019435705326031893
77129.781,357,0.016990071162581444,0.0,0.0,1.0,1,6,-0.2386052906513214,0.07503387331962585,-0.054039012640714645,0.00022541548241861165,4.808310768567026e-05,-0.00015316020289901644
77141.722,361,0.017007187008857727,0.0,0.0,1.0,1,6,-0.2386050969362259,0.07503336668014526,-0.05403965339064598,-0.0003634935128502548,0.0001108840515371412,5.3195879445411265e-05
77152.722,365,0.01696624979376793,0.0,0.0,1.0,1,6,-0.23860476911067963,0.0750327855348587,-0.05404045805335045,-0.0006098285666666925,-1.8537269852458849e-06,0.0002422079414827749
77163.213,368,0.016908759251236916,0.0,0.0,1.0,1,6,-0.2386045902967453,0.0750323161482811,-0.054041147232055664,0.00011389189603505656,0.00021187298989389092,0.00016028160462155938
77173.739,372,0.01683756522834301,0.0,0.0,1.0,1,6,-0.23860450088977814,0.07503156363964081,-0.05404256284236908,0.0005715527222491801,6.276481144595891e-05,0.00010932274744845927
77184.265,375,0.01678415760397911,0.0,0.0,1.0,1,6,-0.23860447108745575,0.07503088563680649,-0.05404360592365265,-4.293929669074714e-05,-6.900193693581969e-05,0.00016953876183833927
77194.761,379,0.016721675172448158,0.0,0.0,1.0,1,6,-0.23860442638397217,0.07502993941307068,-0.05404411628842354,-0.00017951418703887612,9.200341082760133e-06,0.0001458944461774081
77205.285,382,0.016674799844622612,0.0,0.0,1.0,1,5,-0.23860441148281097,0.07502935081720352,-0.05404442921280861,0.00033213497954420745,-2.0388375560287386e-05,8.627315401099622e-05
77215.809,386,0.016656043007969856,0.0,0.0,1.0,1,5,-0.2386043220758438,0.07502888143062592,-0.05404527485370636,-9.725953532324638e-06,8.344108209712431e-05,-1.9996129196897527e-07
77226.340,389,0.016674982383847237,0.0,0.0,1.0,1,5,-0.23860417306423187,0.07502874732017517,-0.05404575541615486,-0.00035902377567254007,-7.577647920697927e-05,-1.0827174264704809e-05
77236.897,393,0.016728723421692848,0.0,0.0,1.0,1,5,-0.23860403895378113,0.07502884417772293,-0.054046016186475754,0.00020113802747800946,-1.4843581993773114e-05,-0.0001747502392390743
77247.423,395,0.016792133450508118,0.0,0.0,1.0,1,5,-0.23860400915145874,0.07502903789281845,-0.05404621735215187,0.0005951217608526349,0.0001330331724602729,-0.00028522638604044914
77257.913,399,0.016885442659258842,0.0,0.0,1.0,1,5,-0.2386038452386856,0.07502932846546173,-0.05404626950621605,8.194777910830453e-05,0.00018526763597037643,-0.00026641724980436265
77268.429,402,0.016935236752033234,0.0,0.0,1.0,1,5,-0.23860356211662292,0.07502952218055725,-0.05404586344957352,-0.0002397789212409407,0.00016327189223375171,-0.00010528689017519355
77279.019,406,0.016991255804896355,0.0,0.0,1.0,1,5,-0.23860333859920502,0.07502956688404083,-0.0540454275906086,-0.0003282421384938061,0.00017461464449297637,-9.018556011142209e-05
77289.530,409,0.017011864110827446,0.0,0.0,1.0,1,5,-0.2386033535003662,0.07502947747707367,-0.054045286029577255,2.009774334510439e-06,2.435873057038407e-06,-3.859868593281135e-05
77300.034,413,0.016988283023238182,0.0,0.0,1.0,1,5,-0.2386033684015274,0.07502927631139755,-0.05404547229409218,-2.432855217193719e-05,0.0002864264533855021,7.349481893470511e-05
77310.553,416,0.016959648579359055,0.0,0.0,1.0,1,5,-0.23860345780849457,0.07502920925617218,-0.05404550954699516,6.043733446858823e-05,-4.444384103408083e-05,0.00011143166193505749
77321.078,420,0.016913631930947304,0.0,0.0,1.0,1,5,-0.23860372602939606,0.07502928376197815,-0.0540456585586071,-3.3352927857777104e-05,-0.00014370761346071959,0.00011834268661914393
77331.704,423,0.016892025247216225,0.0,0.0,1.0,1,5,-0.23860396444797516,0.07502932846546173,-0.05404570698738098,-5.5518677982036024e-05,0.0002915825753007084,8.241580508183688e-05
77342.209,427,0.01687639020383358,0.0,0.0,1.0,1,5,-0.23860402405261993,0.07502927631139755,-0.05404526740312576,0.0004022622888442129,-0.00011227489449083805,-1.8469940187060274e-05
77352.763,430,0.016868863254785538,0.0,0.0,1.0,1,5,-0.23860391974449158,0.07502907514572144,-0.054044853895902634,0.0003918303700629622,-0.00020558852702379227,-2.3336489903158508e-05
77363.546,434,0.01685984805226326,0.0,0.0,1.0,1,5,-0.23860397934913635,0.07502851635217667,-0.05404399335384369,-0.00015805839211679995,-0.00016578387294430286,3.535223368089646e-05
77373.920,437,0.016843175515532494,0.0,0.0,1.0,1,5,-0.23860423266887665,0.07502786070108414,-0.054042842239141464,-6.920773012097925e-05,-0.0003474858240224421,7.175660721259192e-05
